epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,736.422,1.41772,1.06845,0.02207,0.95835,0.9422,0.98006,0.69154,1.09883,0.44997,0.02298,0.00105481,0.00105481,0.00105481
80,745.679,1.37354,1.00395,0.02227,0.97072,0.94071,0.97047,0.65811,1.20008,0.4719,0.02611,0.00105007,0.00105007,0.00105007
81,754.917,1.45377,1.04334,0.02277,0.98478,0.94013,0.97946,0.63806,1.32896,0.43752,0.02796,0.00104527,0.00104527,0.00104527
82,764.298,1.40993,0.992,0.02199,0.97377,0.95759,0.98631,0.67698,1.16618,0.39393,0.02529,0.00104044,0.00104044,0.00104044
83,773.541,1.37437,0.95395,0.02187,0.95348,0.94159,0.98022,0.73163,1.03414,0.40801,0.02115,0.00103555,0.00103555,0.00103555
84,782.738,1.40592,1.01447,0.02147,0.95427,0.9271,0.98006,0.71963,0.98043,0.36841,0.01857,0.00103063,0.00103063,0.00103063
85,792.014,1.41335,1.03873,0.02229,0.95085,0.9574,0.98302,0.68735,1.03889,0.44704,0.02078,0.00102566,0.00102566,0.00102566
86,801.463,1.36306,1.03962,0.02101,0.96479,0.96491,0.98653,0.74987,0.87257,0.3575,0.01568,0.00102064,0.00102064,0.00102064
87,810.793,1.38559,1.02627,0.02097,0.95254,0.96994,0.98455,0.71475,1.06767,0.37447,0.02063,0.00101559,0.00101559,0.00101559
88,820.099,1.36145,1.0242,0.02124,0.95123,0.96377,0.98324,0.70299,1.11017,0.35755,0.02185,0.00101049,0.00101049,0.00101049
89,829.48,1.34913,1.02857,0.02113,0.97725,0.92487,0.98311,0.69874,1.11873,0.38277,0.0236,0.00100535,0.00100535,0.00100535
90,838.787,1.40852,0.98244,0.02266,0.97323,0.94868,0.98338,0.69257,1.09874,0.38018,0.02275,0.00100016,0.00100016,0.00100016
91,848.034,1.38621,1.02145,0.02265,0.98523,0.93316,0.98275,0.67853,1.15174,0.44182,0.02179,0.000994942,0.000994942,0.000994942
92,857.298,1.34041,0.92279,0.02066,0.96507,0.93629,0.98281,0.73443,0.9621,0.37486,0.01917,0.00098968,0.00098968,0.00098968
93,866.614,1.3566,0.98409,0.02106,0.96886,0.95978,0.98858,0.7705,0.83498,0.32822,0.01611,0.000984379,0.000984379,0.000984379
94,875.892,1.33139,0.96676,0.02032,0.96528,0.96969,0.98841,0.76573,0.88286,0.32068,0.01791,0.000979039,0.000979039,0.000979039
95,885.135,1.35481,1.0306,0.02121,0.95233,0.9665,0.98731,0.76363,0.87701,0.35551,0.01803,0.000973661,0.000973661,0.000973661
96,894.434,1.35306,0.96277,0.01994,0.96792,0.95222,0.98365,0.74582,0.90677,0.34583,0.01664,0.000968245,0.000968245,0.000968245
97,903.854,1.3809,1.00657,0.02146,0.97897,0.95445,0.98618,0.6676,1.19228,0.47306,0.02177,0.000962793,0.000962793,0.000962793
98,913.169,1.33031,0.93678,0.02065,0.96761,0.96532,0.98682,0.70744,1.09245,0.35682,0.022,0.000957304,0.000957304,0.000957304
99,922.444,1.33485,0.97256,0.0204,0.97623,0.95864,0.98136,0.70388,1.12096,0.38906,0.02264,0.000951779,0.000951779,0.000951779
100,931.756,1.34799,0.95622,0.02039,0.9644,0.95356,0.98508,0.70719,1.08078,0.35096,0.02303,0.000946219,0.000946219,0.000946219
101,941.183,1.35317,0.95299,0.02036,0.98432,0.92875,0.97918,0.68902,1.11132,0.41757,0.02258,0.000940625,0.000940625,0.000940625
102,950.518,1.36443,0.96196,0.02055,0.9357,0.9664,0.97571,0.69639,1.11287,0.38919,0.02316,0.000934997,0.000934997,0.000934997
103,959.844,1.38892,0.95494,0.02146,0.97688,0.96744,0.98045,0.67499,1.24182,0.37459,0.02474,0.000929335,0.000929335,0.000929335
104,969.197,1.35324,0.92953,0.0198,0.97333,0.95661,0.98007,0.69629,1.16513,0.35545,0.02508,0.000923641,0.000923641,0.000923641
105,978.49,1.33757,0.8871,0.02041,0.98023,0.94335,0.98186,0.79146,0.8057,0.31474,0.0148,0.000917914,0.000917914,0.000917914
106,987.73,1.34592,0.96961,0.02116,0.96123,0.96294,0.98125,0.67003,1.19957,0.35638,0.02405,0.000912157,0.000912157,0.000912157
107,997.005,1.31368,0.9246,0.0202,0.95775,0.93245,0.97252,0.7647,0.85229,0.32055,0.01549,0.000906368,0.000906368,0.000906368
108,1006.32,1.2867,0.9187,0.02043,0.96029,0.96483,0.98596,0.71753,1.07711,0.33579,0.02234,0.000900549,0.000900549,0.000900549
109,1015.63,1.32331,1.01544,0.02103,0.96222,0.93247,0.97517,0.75614,0.90821,0.3393,0.01805,0.000894701,0.000894701,0.000894701
110,1024.91,1.27813,0.89492,0.01997,0.95588,0.96784,0.98708,0.75915,0.89646,0.33733,0.01826,0.000888824,0.000888824,0.000888824
111,1034.13,1.28319,0.95406,0.01989,0.96544,0.92209,0.98184,0.75969,0.88175,0.3728,0.01766,0.000882918,0.000882918,0.000882918
112,1043.52,1.26054,0.91132,0.01976,0.96093,0.91973,0.9753,0.77026,0.82432,0.36405,0.01706,0.000876985,0.000876985,0.000876985
113,1052.74,1.26998,0.91816,0.0197,0.96377,0.96333,0.98711,0.74913,0.9574,0.31597,0.01926,0.000871025,0.000871025,0.000871025
114,1062.01,1.26094,0.9181,0.01881,0.97526,0.94771,0.98372,0.75874,0.92033,0.3219,0.01844,0.000865039,0.000865039,0.000865039
115,1071.43,1.25907,0.89944,0.0201,0.96366,0.96137,0.98415,0.71901,1.03201,0.33751,0.02031,0.000859027,0.000859027,0.000859027
116,1080.65,1.22192,0.95722,0.01888,0.96516,0.95557,0.98265,0.76842,0.8238,0.3136,0.01667,0.00085299,0.00085299,0.00085299
117,1089.96,1.26227,0.94349,0.01984,0.96183,0.91974,0.97785,0.76133,0.85789,0.33833,0.01682,0.000846929,0.000846929,0.000846929
118,1099.22,1.19877,0.88951,0.01849,0.98134,0.92395,0.9834,0.75117,0.90681,0.32414,0.01841,0.000840844,0.000840844,0.000840844
119,1108.59,1.2104,0.91195,0.01917,0.95588,0.97166,0.98738,0.76756,0.86433,0.29648,0.01716,0.000834736,0.000834736,0.000834736
120,1117.88,1.20501,0.87716,0.01801,0.98103,0.94705,0.98598,0.80157,0.69807,0.30689,0.01308,0.000828606,0.000828606,0.000828606
121,1127.22,1.21598,0.83403,0.01821,0.95306,0.97573,0.99008,0.77874,0.80942,0.32292,0.01608,0.000822454,0.000822454,0.000822454
122,1136.55,1.23798,0.88386,0.01925,0.96913,0.94213,0.98257,0.74952,0.90491,0.37852,0.02025,0.000816281,0.000816281,0.000816281
123,1145.93,1.24987,0.91257,0.01941,0.9742,0.95513,0.97858,0.70076,1.08938,0.38903,0.02423,0.000810088,0.000810088,0.000810088
124,1155.19,1.28362,0.90767,0.01971,0.96969,0.94943,0.97167,0.75885,0.87504,0.3512,0.01734,0.000803876,0.000803876,0.000803876
125,1164.47,1.20092,0.84979,0.01777,0.9591,0.93146,0.96571,0.67358,1.13895,0.39618,0.02316,0.000797644,0.000797644,0.000797644
126,1173.76,1.20819,0.82305,0.01911,0.96202,0.93876,0.97559,0.71277,1.02746,0.35687,0.02041,0.000791394,0.000791394,0.000791394
127,1183.1,1.19581,0.80319,0.0181,0.98202,0.94994,0.98263,0.73038,0.97661,0.32112,0.01929,0.000785127,0.000785127,0.000785127
128,1192.37,1.15222,0.7556,0.0168,0.96728,0.95935,0.97907,0.76272,0.81279,0.29105,0.01505,0.000778843,0.000778843,0.000778843
129,1201.6,1.22311,0.87606,0.01939,0.95145,0.94859,0.9756,0.74598,0.92657,0.34187,0.01843,0.000772542,0.000772542,0.000772542
130,1211.01,1.18464,0.76047,0.01714,0.97607,0.9603,0.9867,0.71639,1.02546,0.3375,0.02032,0.000766226,0.000766226,0.000766226
131,1220.24,1.18763,0.87633,0.0179,0.97844,0.95543,0.98833,0.74941,0.88523,0.3356,0.01697,0.000759895,0.000759895,0.000759895
132,1229.57,1.17948,0.8283,0.01847,0.98364,0.96629,0.98905,0.71561,1.05617,0.34532,0.02222,0.00075355,0.00075355,0.00075355
133,1238.87,1.18774,0.88884,0.01803,0.97935,0.97808,0.99265,0.74469,0.88996,0.30047,0.01729,0.000747192,0.000747192,0.000747192
134,1248.27,1.14702,0.85794,0.01783,0.98452,0.96061,0.9891,0.78543,0.79143,0.26529,0.01572,0.000740821,0.000740821,0.000740821
135,1257.56,1.12913,0.86345,0.0172,0.95835,0.98084,0.99222,0.76552,0.85382,0.27451,0.01714,0.000734438,0.000734438,0.000734438
136,1266.86,1.19233,0.84762,0.01777,0.96504,0.96858,0.99158,0.71527,0.99103,0.35466,0.01965,0.000728044,0.000728044,0.000728044
137,1276.12,1.16495,0.83379,0.01721,0.95701,0.96617,0.99153,0.75746,0.877,0.32213,0.01639,0.000721639,0.000721639,0.000721639
138,1285.48,1.14424,0.81602,0.01761,0.98116,0.96229,0.98921,0.78038,0.7669,0.2858,0.01374,0.000715224,0.000715224,0.000715224
139,1294.7,1.12292,0.7875,0.01722,0.97121,0.95761,0.98612,0.80268,0.73099,0.263,0.01369,0.0007088,0.0007088,0.0007088
140,1303.97,1.14683,0.82016,0.01748,0.9824,0.95213,0.98507,0.77968,0.78248,0.28302,0.0149,0.000702367,0.000702367,0.000702367
141,1313.29,1.12558,0.84684,0.01725,0.96524,0.96057,0.98483,0.80953,0.70686,0.26967,0.01302,0.000695927,0.000695927,0.000695927
142,1322.59,1.17535,0.78677,0.01768,0.97784,0.96947,0.98659,0.76891,0.84328,0.271,0.01577,0.00068948,0.00068948,0.00068948
143,1331.91,1.17216,0.81451,0.01813,0.97242,0.97153,0.98504,0.74189,0.97765,0.3211,0.02016,0.000683026,0.000683026,0.000683026
144,1341.19,1.115,0.82418,0.01729,0.98155,0.9455,0.9825,0.74653,0.92211,0.34362,0.01955,0.000676566,0.000676566,0.000676566
145,1350.6,1.12742,0.78958,0.01661,0.96933,0.97473,0.98586,0.79209,0.77912,0.27426,0.01517,0.000670102,0.000670102,0.000670102
146,1359.89,1.11206,0.78271,0.01699,0.97972,0.96627,0.98483,0.77556,0.79716,0.28624,0.01608,0.000663633,0.000663633,0.000663633
147,1369.13,1.09478,0.79287,0.01723,0.96412,0.96034,0.98656,0.81886,0.69617,0.25489,0.01338,0.000657161,0.000657161,0.000657161
148,1378.41,1.11318,0.76846,0.01738,0.98656,0.96801,0.99088,0.8206,0.7129,0.2622,0.01428,0.000650685,0.000650685,0.000650685
149,1387.82,1.1696,0.77365,0.01735,0.98154,0.96004,0.99015,0.77316,0.82321,0.27238,0.01617,0.000644208,0.000644208,0.000644208
150,1397.14,1.11697,0.79363,0.01732,0.98781,0.96266,0.98212,0.7763,0.83668,0.29253,0.01698,0.000637729,0.000637729,0.000637729
151,1406.41,1.16598,0.87331,0.01803,0.9851,0.94951,0.98521,0.79929,0.76679,0.27468,0.01505,0.00063125,0.00063125,0.00063125
152,1415.76,1.15044,0.82242,0.01782,0.99687,0.95502,0.98667,0.82383,0.67116,0.26128,0.01307,0.000624771,0.000624771,0.000624771
153,1425.16,1.13123,0.80231,0.01785,0.9842,0.97258,0.98748,0.78188,0.83829,0.26917,0.0158,0.000618292,0.000618292,0.000618292
154,1434.46,1.09105,0.77366,0.01634,0.98915,0.95913,0.98352,0.7787,0.82519,0.27308,0.0147,0.000611815,0.000611815,0.000611815
155,1443.77,1.10624,0.82932,0.01707,0.99177,0.96501,0.99222,0.7721,0.85054,0.28168,0.01688,0.000605339,0.000605339,0.000605339
156,1453.05,1.10073,0.75235,0.01622,0.99336,0.96923,0.99103,0.80354,0.75055,0.25271,0.01417,0.000598867,0.000598867,0.000598867
157,1462.42,1.10619,0.80893,0.01726,0.97788,0.96328,0.98636,0.78934,0.75912,0.26319,0.01411,0.000592398,0.000592398,0.000592398
158,1471.69,1.11932,0.77607,0.01754,0.97764,0.96267,0.98697,0.79293,0.75706,0.26983,0.01373,0.000585934,0.000585934,0.000585934
159,1480.97,1.09593,0.81428,0.01606,0.97127,0.95669,0.98146,0.78094,0.80686,0.28818,0.01601,0.000579474,0.000579474,0.000579474
160,1490.22,1.09764,0.79794,0.01711,0.97439,0.95924,0.98408,0.79774,0.76361,0.26449,0.01349,0.00057302,0.00057302,0.00057302
161,1499.57,1.12209,0.76711,0.0174,0.97701,0.96194,0.98501,0.79219,0.79113,0.25266,0.01468,0.000566573,0.000566573,0.000566573
162,1508.82,1.06684,0.74355,0.01586,0.98076,0.95951,0.98902,0.76919,0.87688,0.28109,0.01635,0.000560133,0.000560133,0.000560133
163,1518.03,1.07867,0.80617,0.01717,0.98254,0.96508,0.99036,0.79383,0.77592,0.27872,0.01389,0.0005537,0.0005537,0.0005537
164,1527.46,1.11757,0.80225,0.01689,0.99944,0.96156,0.99231,0.78617,0.83902,0.26599,0.0162,0.000547276,0.000547276,0.000547276
165,1536.69,1.09291,0.80183,0.01623,0.98462,0.94958,0.99044,0.79354,0.80307,0.27858,0.01602,0.000540861,0.000540861,0.000540861
166,1546.01,1.07814,0.77363,0.01633,0.94854,0.96868,0.99021,0.80793,0.75168,0.30553,0.01419,0.000534456,0.000534456,0.000534456
167,1555.29,1.0488,0.74143,0.01565,0.97474,0.96711,0.99195,0.79408,0.79992,0.27495,0.01528,0.000528062,0.000528062,0.000528062
168,1564.68,1.05622,0.795,0.01634,0.98475,0.97613,0.99267,0.80262,0.75993,0.23943,0.01429,0.000521679,0.000521679,0.000521679
169,1573.97,1.04859,0.76701,0.01572,0.99078,0.97922,0.993,0.76519,0.87575,0.26237,0.0162,0.000515308,0.000515308,0.000515308
170,1583.26,1.06078,0.765,0.01633,0.99147,0.95797,0.99071,0.7963,0.79073,0.24381,0.01641,0.00050895,0.00050895,0.00050895
171,1592.53,1.07985,0.74688,0.0167,0.99533,0.95175,0.98989,0.78791,0.77714,0.25714,0.0134,0.000502605,0.000502605,0.000502605
172,1601.89,1.04982,0.73385,0.01622,0.99027,0.97436,0.99204,0.81254,0.73785,0.23908,0.01382,0.000496274,0.000496274,0.000496274
173,1611.17,1.06751,0.76596,0.016,0.98867,0.97797,0.99283,0.79005,0.82432,0.24084,0.0167,0.000489958,0.000489958,0.000489958
174,1620.46,1.05576,0.73395,0.01609,0.98583,0.96458,0.99227,0.76949,0.83989,0.26831,0.01556,0.000483657,0.000483657,0.000483657
175,1629.76,1.06368,0.76558,0.01594,0.98355,0.96949,0.99064,0.79689,0.77456,0.27733,0.01407,0.000477373,0.000477373,0.000477373
176,1639.18,1.03755,0.71779,0.01547,0.98433,0.96445,0.98788,0.8204,0.71078,0.2391,0.01315,0.000471106,0.000471106,0.000471106
177,1648.44,1.06626,0.74005,0.01595,0.98493,0.97208,0.98825,0.82341,0.69737,0.23132,0.0125,0.000464856,0.000464856,0.000464856
178,1657.75,1.06267,0.7672,0.01646,0.98947,0.97793,0.99151,0.79408,0.79164,0.26611,0.0149,0.000458624,0.000458624,0.000458624
179,1667.14,1.06877,0.71861,0.01547,0.98092,0.96575,0.98741,0.83374,0.66064,0.23883,0.01199,0.000452412,0.000452412,0.000452412
180,1676.37,1.03129,0.69299,0.01541,0.98587,0.96169,0.98759,0.81776,0.68824,0.2418,0.01268,0.000446219,0.000446219,0.000446219
181,1685.63,1.01991,0.72737,0.01534,0.99095,0.96477,0.9892,0.77339,0.83654,0.26517,0.01547,0.000440046,0.000440046,0.000440046
182,1694.87,1.06168,0.75026,0.01572,0.99416,0.97116,0.9926,0.79649,0.75926,0.24196,0.0135,0.000433894,0.000433894,0.000433894
183,1704.26,1.04486,0.75389,0.01551,0.99418,0.97719,0.99245,0.81741,0.7065,0.2273,0.01261,0.000427764,0.000427764,0.000427764
